Dato;Beneficio;Retencion;Compartido;Resultado1;Resultado2;Resultado3;Resultado4;Resultado5;Resultado6;Resultado7
video;usuario;siempre;no especificado;De acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;De acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;usuario;un año;compartido;De acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;usuario;siempre;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;una semana;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
datos biométricos;usuario;un año;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;De acuerdo;En desacuerdo;Denegar
video;usuario;siempre;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;De acuerdo;En desacuerdo;Denegar
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;una semana;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Denegar
datos biométricos;usuario;un año;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;Totalmente de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
video;usuario;siempre;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;usuario;un año;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;De acuerdo;;En desacuerdo;Totalmente en desacuerdo;Permitir
video;usuario;siempre;no especificado;En desacuerdo;En desacuerdo;De acuerdo;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;una semana;no especificado;En desacuerdo;De acuerdo;;;De acuerdo;En desacuerdo;Denegar
datos biométricos;usuario;un año;compartido;En desacuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;usuario;siempre;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;De acuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;una semana;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
datos biométricos;usuario;un año;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;recopilador de datos;no especificado;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
video;usuario;siempre;no especificado;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;una semana;no especificado;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;usuario;un año;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;De acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;usuario;siempre;no especificado;De acuerdo;En desacuerdo;De acuerdo;;De acuerdo;En desacuerdo;Denegar
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;Totalmente en desacuerdo;En desacuerdo;De acuerdo;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;una semana;no especificado;En desacuerdo;En desacuerdo;De acuerdo;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;usuario;un año;compartido;En desacuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;recopilador de datos;no especificado;no especificado;Totalmente de acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
video;usuario;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;recopilador de datos;hasta que se cumpla el proposito;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
presencia;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;usuario;un año;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;usuario;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
video;usuario;una semana;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;usuario;siempre;no especificado;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;usuario;una semana;compartido;De acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;De acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;usuario;siempre;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
video;usuario;una semana;compartido;Totalmente de acuerdo;De acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;Totalmente de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;En desacuerdo;Denegar
datos biométricos;usuario;siempre;no especificado;De acuerdo;Totalmente de acuerdo;;;De acuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
video;usuario;una semana;compartido;Ni en desacuerdo ni de acuerdo;En desacuerdo;Ni en desacuerdo ni de acuerdo;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;un año;no especificado;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
datos biométricos;usuario;siempre;no especificado;De acuerdo;De acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;Ni en desacuerdo ni de acuerdo;Permitir
video;usuario;una semana;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;usuario;siempre;no especificado;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;usuario;una semana;compartido;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Denegar
datos biométricos;recopilador de datos;un año;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;usuario;siempre;no especificado;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
video;usuario;una semana;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;usuario;siempre;no especificado;En desacuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;usuario;una semana;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
posición;usuario;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
datos biométricos;usuario;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Denegar
video;usuario;una semana;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;usuario;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;usuario;siempre;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
video;usuario;una semana;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;un año;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
posición;usuario;siempre;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;usuario;un año;no especificado;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;siempre;compartido;Ni en desacuerdo ni de acuerdo;En desacuerdo;Ni en desacuerdo ni de acuerdo;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Denegar
presencia;usuario;un año;no especificado;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;De acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;Totalmente de acuerdo;De acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;una semana;no especificado;De acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
posición;usuario;siempre;compartido;Totalmente en desacuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
presencia;usuario;un año;no especificado;De acuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;En desacuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;una semana;no especificado;Ni en desacuerdo ni de acuerdo;En desacuerdo;Ni en desacuerdo ni de acuerdo;;De acuerdo;De acuerdo;Permitir
posición;usuario;siempre;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;usuario;un año;no especificado;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;una semana;no especificado;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;Denegar
posición;usuario;siempre;compartido;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Denegar
presencia;usuario;un año;no especificado;De acuerdo;Totalmente en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;Denegar
video;recopilador de datos;no especificado;no especificado;De acuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;una semana;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;usuario;siempre;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;usuario;un año;no especificado;En desacuerdo;De acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;siempre;compartido;De acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;En desacuerdo;Permitir
presencia;usuario;un año;no especificado;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir